City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Avarua,CK,80.65,Broken clouds,-21.2078,-159.775,Paradise Inn
3,Pangai,TO,81.5,Light rain,-19.8,-174.35,Ha'apai Beach Resort
4,Ankazoabo,MG,76.14,Clear sky,-22.2833,44.5167,ENCEIN BUREAU CISCO
5,Port Blair,IN,75.18,Clear sky,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
7,Namatanai,PG,78.64,Overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
10,Busselton,AU,79.05,Broken clouds,-33.65,115.3333,Observatory Guest House
12,Mahebourg,MU,80.26,Moderate rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
14,Atuona,PF,78.31,Clear sky,-9.8,-139.0333,Villa Enata
22,Cidreira,BR,80.4,Broken clouds,-30.1811,-50.2056,Hotel Castelo
25,Saint-Pierre,RE,80.24,Heavy intensity rain,-21.3393,55.4781,Lindsey Hôtel
26,Port Hedland,AU,78.85,Broken clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
28,Noumea,NC,75.18,Light rain,-22.2763,166.4572,Hôtel Le Lagon
29,Rocha,UY,79.57,Overcast clouds,-34.4833,-54.3333,Hotel Arrarte
30,Georgetown,MY,82.33,Scattered clouds,5.4112,100.3354,Cititel Penang
40,Prieska,ZA,77.5,Clear sky,-29.6641,22.7474,Avenue GuestHouse
44,Hithadhoo,MV,81.57,Broken clouds,-0.6,73.0833,Scoop Guest House
46,Souillac,MU,80.37,Light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
47,Chuy,UY,84.54,Broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
53,Mar Del Plata,AR,75.22,Broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
57,Caravelas,BR,83.91,Overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
60,Banfora,BF,81.46,Broken clouds,10.6333,-4.7667,Residences David Hebié
69,Kudahuvadhoo,MV,81.55,Overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
72,Dhidhdhoo,MV,80.62,Clear sky,6.8833,73.1,Dhidhoo beach
73,Ambovombe,MG,75.02,Few clouds,-25.1667,46.0833,RELAHARA
76,Dondo,MZ,81.91,Clear sky,-19.6094,34.7431,Arco Iris
77,Vaini,TO,78.96,Broken clouds,-21.2,-175.2,Keleti Beach Resort
78,Arraial Do Cabo,BR,80.46,Broken clouds,-22.9661,-42.0278,Pousada Porto Praia
79,Katobu,ID,75.74,Overcast clouds,-4.9408,122.5276,La Ode Husein
85,Mabaruma,GY,81.09,Scattered clouds,8.2,-59.7833,Monty Brooms Guest House
89,Honiara,SB,77.65,Overcast clouds,-9.4333,159.95,Heritage Park Hotel
95,Rikitea,PF,77.47,Light rain,-23.1203,-134.9692,People ThankYou
99,Atar,MR,78.12,Clear sky,20.5169,-13.0499,Oumou Elghoura
103,Butaritari,KI,80.47,Moderate rain,3.0707,172.7902,Isles Sunset Lodge
107,Puerto Ayora,EC,84.16,Clear sky,-0.7393,-90.3518,Finch Bay Galapagos Hotel
108,Salalah,OM,75.29,Clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
114,Isangel,VU,79.34,Light rain,-19.55,169.2667,Tanna Lodge
118,Carnarvon,AU,78.73,Broken clouds,-24.8667,113.6333,Hospitality Carnarvon
122,Puerto Madryn,AR,80.33,Overcast clouds,-42.7692,-65.0385,Hotel Tolosa
125,Sao Joao Da Barra,BR,82.49,Overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
126,Cabo San Lucas,MX,75.51,Few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
127,Harper,LR,80.73,Clear sky,4.375,-7.7169,Screensaver
128,Pimentel,PE,80.89,Clear sky,-6.8367,-79.9342,Casona Del Muelle
130,Kuching,MY,77.22,Scattered clouds,1.55,110.3333,The Ranee Boutique Suites
136,Tecolutla,MX,75.06,Clear sky,20.4833,-97.0167,Hotel Plaza Marsol
147,Cap Malheureux,MU,81.46,Overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
154,Faanui,PF,80.04,Overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
159,Porto Novo,BJ,80.33,Overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
160,Saint-Philippe,RE,80.15,Heavy intensity rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
161,Sayan,PE,80.06,Scattered clouds,-11.1361,-77.1933,Hotel Restaurant Vanessa
164,Nouakchott,MR,85.93,Clear sky,18.0858,-15.9785,HOTEL IMAN
165,Padang,ID,75.88,Overcast clouds,-0.9492,100.3543,Mercure Padang
166,Bubaque,GW,77.9,Clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
170,Kankan,GN,80.67,Clear sky,10.3854,-9.3057,Hotel Bate
172,Yenagoa,NG,81.45,Scattered clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
174,Mitsamiouli,KM,82.42,Light rain,-11.3847,43.2844,Foyer ADM
175,Grand Gaube,MU,81.37,Overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
179,Hualmay,PE,76.46,Few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
189,Antalaha,MG,77.58,Overcast clouds,-14.9003,50.2788,Hotel Vitasoa
191,Bathsheba,BB,84.81,Few clouds,13.2167,-59.5167,Atlantis Hotel
193,Bengkulu,ID,75.97,Overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
202,Bambous Virieux,MU,80.22,Light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
203,Poum,NC,81.91,Moderate rain,-20.2333,164.0167,Gîte kajeon
207,Acarau,BR,84.38,Broken clouds,-2.8856,-40.12,castelo pizzaria
216,Balikpapan,ID,79.79,Broken clouds,-1.2675,116.8289,ibis Balikpapan
219,Curvelo,BR,82.99,Overcast clouds,-18.7564,-44.4308,Pontal Plaza Hotel
220,Belmonte,BR,86.0,Clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
223,Saint Simons,US,77.31,Clear sky,31.1352,-81.3901,"Holiday Inn Express Saint Simons Island, an IHG Hotel"
228,Lorengau,PG,79.32,Light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
231,Taveta,KE,75.56,Overcast clouds,-3.3963,37.6736,Challa Hotel
232,Alofi,NU,75.09,Overcast clouds,-19.0595,-169.9187,Taloa Heights
237,Santa Rosa,PH,77.09,Broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
238,Hobyo,SO,77.56,Few clouds,5.3505,48.5268,Halane Hotel and Restaurent
239,Tecoanapa,MX,81.12,Clear sky,16.5167,-98.75,Hotel Manglares
248,Port Keats,AU,80.24,Overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
260,Vacaria,BR,87.71,Scattered clouds,-28.5122,-50.9339,Pampa Hotel
267,Talca,CL,83.91,Few clouds,-35.4333,-71.6667,Casa de Huespedes Marbargla
270,Tuban,ID,76.37,Overcast clouds,-6.8976,112.0649,Hotel Mustika
273,Gizo,SB,78.49,Moderate rain,-8.103,156.8419,Imagination Island
278,Cayenne,GF,78.84,Light rain,4.9333,-52.3333,Hôtel Le Dronmi
279,Bariri,BR,88.05,Light rain,-22.0744,-48.7403,San Francisco Hotel
282,Cabedelo,BR,84.87,Overcast clouds,-6.9811,-34.8339,Hotel Pigalle
288,Jacmel,HT,89.44,Clear sky,18.2342,-72.5347,Historic Hotel Florita
291,Altamira,BR,89.69,Scattered clouds,-3.2033,-52.2064,Requinte Hotel
293,Nouadhibou,MR,76.98,Dust,20.931,-17.0347,El Medina
294,Eirunepe,BR,84.07,Broken clouds,-6.6603,-69.8736,Atrás de você
298,Santiago Del Estero,AR,89.06,Scattered clouds,-27.7951,-64.2615,Apartamentos Castelli 90
299,Tautira,PF,84.22,Clear sky,-17.7333,-149.15,Pension Oaoa
303,Maracaju,BR,75.7,Overcast clouds,-21.6144,-55.1683,Maracaju Plaza Hotel - Hospedagem - Maracaju/MS
305,Maningrida,AU,77.83,Overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
325,Acapulco,MX,84.02,Clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
335,Taganak,PH,80.74,Broken clouds,6.0833,118.3,Taganak
337,Touros,BR,86.9,Broken clouds,-5.1989,-35.4608,INN NEW HORIZON
343,Buchanan,LR,82.36,Overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
344,Kieta,PG,77.52,Moderate rain,-6.2167,155.6333,Uruna Bay Retreat
345,Richards Bay,ZA,79.54,Broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
348,Rio Branco,BR,83.01,Broken clouds,-9.9747,-67.81,Inácio Palace Hotel
356,Amboasary,MG,75.04,Clear sky,-25.0333,46.3833,DISCOVERY AMBOASARY
367,Aden,YE,78.13,Clear sky,12.7794,45.0367,Sama Emirate Hotel
368,Mvomero,TZ,78.06,Light rain,-6.25,38.6667,Kisampa Bush Retreat
370,Ugoofaaru,MV,80.71,Clear sky,5.6667,73.0,Ungoofaaru Inn
375,Tres Lagoas,BR,85.3,Light rain,-20.7511,-51.6783,Druds Express Hotel
381,Resistencia,AR,85.98,Broken clouds,-27.4606,-58.9839,Niyat Urban Hotel
382,Vao,NC,79.9,Light rain,-22.6667,167.4833,Hotel Kou-Bugny
384,Diamantino,BR,85.35,Overcast clouds,-14.4086,-56.4461,Hotel Delta
393,Auki,SB,77.47,Light rain,-8.7676,160.7034,Auki Motel
395,Sambava,MG,78.73,Overcast clouds,-14.2667,50.1667,Melrose
396,Kavaratti,IN,79.05,Clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
402,Dingle,PH,75.2,Overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
408,Osorno,CL,77.31,Broken clouds,-40.5667,-73.15,Sonesta Hotel Osorno
409,Cockburn Town,TC,75.16,Scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
410,Labuan,MY,80.96,Few clouds,5.2767,115.2417,Tiara Labuan Hotel
413,Bandarbeyla,SO,75.94,Clear sky,9.4942,50.8122,JABIR HOTEL
416,Soyo,AO,78.66,Broken clouds,-6.1349,12.3689,Hotel Mpampa
417,Karratha,AU,82.36,Overcast clouds,-20.7377,116.8463,ibis Styles Karratha
422,Puerto Asis,CO,81.16,Overcast clouds,0.5133,-76.5007,Ayawaska Hostal
427,Manaure,CO,88.52,Clear sky,11.7751,-72.4445,Hotel Palaaima
431,Inhambane,MZ,79.14,Clear sky,-23.865,35.3833,Oceano
432,Moron,AR,82.94,Overcast clouds,-34.6534,-58.6198,Hotel Morón
436,Rosa Zarate,EC,84.27,Light rain,0.3333,-79.4667,Piscinas y Recepciones Hecalash
440,Coxim,BR,84.67,Overcast clouds,-18.5067,-54.76,Hotel Avenida
441,Vila Velha,BR,78.75,Broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
447,Wad Madani,SD,82.36,Overcast clouds,14.4012,33.5199,فندق يوغسلافيا
448,Sarangani,PH,81.12,Light rain,5.4033,125.4636,Ballistic Islet
455,Punta Cardon,VE,82.96,Clear sky,11.6581,-70.215,Bambuda hotel
