City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Port Hedland,AU,2022-02-02 21:22:12,-20.3167,118.5667,78.85,94,96,5.75
1,Jamestown,US,2022-02-02 21:15:23,42.097,-79.2353,41.09,40,100,14.97
2,Mogok,MM,2022-02-02 21:26:20,22.9167,96.5,47.43,61,0,1.95
3,Codrington,AU,2022-02-02 21:25:17,-38.2667,141.9667,58.32,68,82,14.32
4,Butaritari,KI,2022-02-02 21:26:20,3.0707,172.7902,81.34,80,32,18.3
5,Port Alfred,ZA,2022-02-02 21:21:45,-33.5906,26.891,74.26,95,100,9.89
6,Camana,PE,2022-02-02 21:26:21,-16.6228,-72.7111,74.46,73,48,9.35
7,Ushuaia,AR,2022-02-02 21:26:21,-54.8,-68.3,46.06,57,75,20.71
8,Makat,KZ,2022-02-02 21:26:22,47.6469,53.3463,30.15,91,85,10.71
9,Mar Del Plata,AR,2022-02-02 21:26:22,-38.0023,-57.5575,85.08,50,0,1.99
10,Rikitea,PF,2022-02-02 21:23:10,-23.1203,-134.9692,78.17,73,100,5.37
11,Tiksi,RU,2022-02-02 21:26:23,71.6872,128.8694,-5.03,98,100,6.64
12,Inhambane,MZ,2022-02-02 21:26:23,-23.865,35.3833,76.77,82,12,7.94
13,Atuona,PF,2022-02-02 21:26:24,-9.8,-139.0333,77.25,78,93,14.58
14,Tasiilaq,GL,2022-02-02 21:26:24,65.6145,-37.6368,14.16,73,100,4.83
15,Saint-Philippe,RE,2022-02-02 21:26:26,-21.3585,55.7679,80.19,94,100,33.02
16,Dunedin,NZ,2022-02-02 21:24:16,-45.8742,170.5036,56.14,94,100,12.86
17,Akdepe,TM,2022-02-02 21:26:17,42.0551,59.3788,32.09,79,1,9.51
18,Esperance,AU,2022-02-02 21:23:47,-33.8667,121.9,57.04,74,3,10.67
19,Hamilton,US,2022-02-02 21:26:27,39.1834,-84.5333,45.21,94,100,3.44
20,Ponta Do Sol,PT,2022-02-02 21:26:28,32.6667,-17.1,68.72,76,100,5.79
21,Thinadhoo,MV,2022-02-02 21:26:28,0.5333,72.9333,82.49,71,11,7.85
22,Mataura,NZ,2022-02-02 21:26:10,-46.1927,168.8643,57.47,98,100,4.25
23,Dourados,BR,2022-02-02 21:26:29,-22.2211,-54.8056,80.56,72,76,7.81
24,Busselton,AU,2022-02-02 21:21:43,-33.65,115.3333,67.05,49,100,14.92
25,Geraldton,AU,2022-02-02 21:26:29,-28.7667,114.6,84.61,17,0,21.85
26,Xining,CN,2022-02-02 21:26:30,36.6167,101.7667,12.02,68,58,3.02
